name	role	week	elims	deaths	damage	healing	ults	final_blows
Ado	offense	Week 1	17	12	10129	24064	13	4
Agilities	offense	Week 1	138	39	49837	69879	40	31
Aid	support	Week 1	120	41	50022	68345	30	26
AimGod	support	Week 1	177	66	99477	127049	60	51
aKm	offense	Week 1	111	25	61085	480	33	34
alemao	support	Week 1	36	13	13227	13770	9	5
ameng	tank	Week 1	90	44	47479	0	30	29
Anamo	support	Week 1	167	16	43710	55854	32	16
Architect	offense	Week 1	188	47	59580	88067	51	44
Axxiom	tank	Week 1	202	71	105207	0	52	49
Baconjack	offense	Week 1	30	19	17071	62	11	17
Bazzi	offense	Week 1	222	75	76205	93048	60	53
Bdosin	support	Week 1	154	45	77944	67551	40	38
BEBE	support	Week 1	159	43	74723	96515	50	32
BenBest	tank	Week 1	56	27	28822	0	19	16
BigG00se	support	Week 1	171	60	60491	57866	40	38
BIRDRING	offense	Week 1	133	36	71464	95	31	51
blase	offense	Week 1	180	77	64030	118760	66	40
Boink	support	Week 1	197	66	59785	93659	53	39
Boombox	support	Week 1	225	63	93062	98249	65	54
bqb	offense	Week 1	89	31	48937	756	22	30
BUMPER	tank	Week 1	77	26	32088	0	20	28
carpe	offense	Week 1	263	56	118006	244	50	88
Chara	support	Week 1	105	29	35319	35363	21	21
Choihyobin	tank	Week 1	185	28	62089	290	31	61
Closer	support	Week 1	110	37	38409	55170	29	10
CoMa	support	Week 1	74	48	28675	52636	26	16
coolmatt	tank	Week 1	212	52	97989	21	52	55
Corey	offense	Week 1	25	16	23644	0	12	9
Daco	tank	Week 1	175	32	59183	5	17	47
dafran	offense	Week 1	243	65	120368	185	56	93
Danteh	offense	Week 1	298	64	156447	11991	78	84
DDing	offense	Week 1	104	34	51245	22114	35	35
diem	offense	Week 1	143	59	82296	313	49	70
Dogman	support	Week 1	136	54	51712	57296	35	43
EFFECT	offense	Week 1	92	37	56839	0	28	34
Eileen	offense	Week 1	129	28	48625	13078	34	42
Elsa	tank	Week 1	108	28	49701	124	23	42
Envy	tank	Week 1	168	34	54972	875	28	45
eqo	offense	Week 1	243	64	67503	101269	52	48
Erster	offense	Week 1	218	51	67855	58101	46	58
Fahzix	support	Week 1	2	5	6247	9895	4	0
Fate	tank	Week 1	123	43	60617	0	33	38
Finnsi	tank	Week 1	88	17	22911	0	19	15
Fissure	tank	Week 1	179	57	85310	0	46	68
Fleta	offense	Week 1	210	44	109043	7556	44	70
Fury	tank	Week 1	195	34	69685	426	36	64
Fusions	tank	Week 1	175	94	100666	0	57	59
Gamsu	tank	Week 1	58	31	25092	0	14	21
Gator	tank	Week 1	16	7	7979	0	5	7
Geguri	tank	Week 1	133	47	50376	0	28	35
Gesture	tank	Week 1	146	62	62620	0	36	43
Gido	support	Week 1	19	13	21986	25699	12	6
GodsB	offense	Week 1	255	57	120560	961	51	83
Guard	offense	Week 1	53	11	22983	166	13	14
Guxue	tank	Week 1	56	25	35213	0	21	15
HaGoPeun	support	Week 1	73	24	33836	43239	21	18
Haksal	offense	Week 1	93	19	24846	31195	16	28
Happy	offense	Week 1	119	32	47713	19290	28	47
HOTBA	tank	Week 1	134	24	50637	0	25	47
Hydration	offense	Week 1	184	69	73194	110229	66	35
Hyeonu	support	Week 1	10	8	4171	10540	5	2
HyP	support	Week 1	70	19	26571	39921	19	16
iDK	support	Week 1	171	50	57214	73543	42	37
ivy	offense	Week 1	171	39	76069	0	33	64
IZaYaKI	support	Week 1	120	32	59143	73926	38	33
Jake	offense	Week 1	75	18	27163	9899	16	23
Janus	tank	Week 1	13	19	12106	0	7	7
Jecse	support	Week 1	153	39	38692	60742	31	23
JinMu	offense	Week 1	88	44	43412	39114	34	29
JJANU	tank	Week 1	104	9	26824	0	8	29
JJONAK	support	Week 1	168	29	77018	71157	37	56
KariV	offense	Week 1	109	24	56693	0	23	36
Kellex	support	Week 1	117	49	48588	68067	35	21
Kodak	support	Week 1	55	20	25453	38355	18	15
Kris	support	Week 1	64	25	18745	21682	12	9
Kruise	support	Week 1	62	23	20552	20678	14	16
KSF	offense	Week 1	42	6	22496	0	10	14
KuKi	tank	Week 1	104	32	28942	46708	23	20
