name	role	week	elims	deaths	damage	healing	ults	final_blows
Ado	offense	Week 5	441	194	160164	328508	164	106
Adora	offense	Week 5	66	20	19980	41413	22	13
Agilities	offense	Week 5	685	224	245156	415258	226	154
Aid	support	Week 5	327	99	141912	215457	95	64
AimGod	support	Week 5	643	196	326464	433701	203	166
aKm	offense	Week 5	712	143	341114	480	154	219
alemao	support	Week 5	36	13	13227	13770	9	5
ameng	tank	Week 5	662	258	302766	0	196	194
Anamo	support	Week 5	574	55	155455	188163	105	63
Apply	offense	Week 5	291	111	98903	164225	97	64
Architect	offense	Week 5	284	83	97837	158094	90	70
ArK	support	Week 5	29	8	8688	14900	7	3
Axxiom	tank	Week 5	245	114	130311	0	68	61
Baconjack	offense	Week 5	297	106	138307	432	83	112
Bani	support	Week 5	38	14	16654	19865	11	8
Bazzi	offense	Week 5	521	194	171773	256668	151	120
Bdosin	support	Week 5	536	160	287005	311763	165	145
BEBE	support	Week 5	459	137	244641	314461	154	90
BenBest	tank	Week 5	486	244	265507	0	168	146
BigG00se	support	Week 5	538	195	189465	200938	134	101
BIRDRING	offense	Week 5	145	42	82036	110	37	58
blase	offense	Week 5	667	250	204406	369040	201	138
Boink	support	Week 5	517	190	160927	222958	126	109
Boombox	support	Week 5	501	135	218984	249271	143	135
bqb	offense	Week 5	765	180	403168	2070	203	204
BUMPER	tank	Week 5	654	229	324516	0	191	214
carpe	offense	Week 5	806	169	388064	244	173	278
Chara	support	Week 5	500	149	202252	197185	121	92
Choihyobin	tank	Week 5	586	104	213745	290	101	181
Closer	support	Week 5	566	129	163200	192938	114	96
ColourHex	offense	Week 5	547	132	300616	312	130	139
CoMa	support	Week 5	505	140	141077	197654	109	84
coolmatt	tank	Week 5	296	71	132368	21	68	78
Corey	offense	Week 5	549	207	400446	0	183	175
Custa	support	Week 5	128	40	43652	51842	31	17
Daco	tank	Week 5	658	120	217128	8	81	173
dafran	offense	Week 5	729	191	379009	1687	175	264
Danteh	offense	Week 5	681	143	334271	13248	187	185
DDing	offense	Week 5	613	101	237163	31024	146	179
Decay	offense	Week 5	430	88	245572	14	102	150
diem	offense	Week 5	752	176	370315	761	175	286
Dogman	support	Week 5	437	153	178736	217832	121	125
EFFECT	offense	Week 5	120	56	83529	78	42	42
Eileen	offense	Week 5	294	66	107596	68832	82	79
Elk	support	Week 5	136	57	66759	82791	44	42
Elsa	tank	Week 5	735	154	300886	1809	131	227
Envy	tank	Week 5	803	179	319169	5568	151	256
eqo	offense	Week 5	725	191	212752	341190	176	147
Erster	offense	Week 5	687	157	197996	223090	153	188
Fahzix	support	Week 5	371	130	161902	255058	121	56
Fate	tank	Week 5	616	263	338353	0	191	173
Finnsi	tank	Week 5	655	158	253331	254	143	194
Fissure	tank	Week 5	535	176	262492	0	148	165
FITS	offense	Week 5	120	16	69292	42	27	37
Fleta	offense	Week 5	720	156	367092	66474	165	236
Fury	tank	Week 5	701	125	262182	467	130	224
Fusions	tank	Week 5	569	255	299929	0	165	198
Gamsu	tank	Week 5	543	216	227748	0	134	187
Gator	tank	Week 5	16	7	7979	0	5	7
Geguri	tank	Week 5	215	65	81717	0	45	63
Gesture	tank	Week 5	572	211	270598	0	165	186
Gido	support	Week 5	384	167	285688	378984	178	96
GodsB	offense	Week 5	685	167	394925	2266	163	222
Guard	offense	Week 5	476	128	163610	206056	144	96
GuardiaN	tank	Week 5	14	10	11256	0	7	3
Guxue	tank	Week 5	280	101	151239	0	84	85
HaGoPeun	support	Week 5	548	208	250513	390980	180	149
Haksal	offense	Week 5	771	137	220989	360451	198	185
Happy	offense	Week 5	632	157	384882	36728	182	205
HOTBA	tank	Week 5	657	125	255923	163	107	201
Hydration	offense	Week 5	626	213	217435	375350	206	115
Hyeonu	support	Week 5	16	15	8560	17911	9	2
HyP	support	Week 5	500	204	254489	383729	175	137
iDK	support	Week 5	474	145	168751	203054	116	73
ivy	offense	Week 5	863	209	481304	650	210	289
IZaYaKI	support	Week 5	616	210	337048	454201	215	169
Jake	offense	Week 5	458	174	146106	193574	129	134
Janus	tank	Week 5	435	248	261664	0	161	138
Jecse	support	Week 5	449	125	120942	174047	100	72
JinMu	offense	Week 5	694	258	344996	208014	211	262
JJANU	tank	Week 5	855	94	259099	2	85	222
